QuestionID,validPoll,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Franklin D. Roosevelt,Wendell Willkie,Other / Undecided
USOPOR.40-802.Q15A,True,Would you prefer to see (Franklin D.) Roosevelt or (Wendell) Willkie win the Presidential election this year (1940)?,,,07/31/1940,Office of Public Opinion Research,,Office of Public Opinion Research War Survey,07/20/1940,07/20/1940,Y,National adult and a supplemental sample of adult residents of southen states including an oversample of African Americans,3091,,Face-to-face interview,,49.0,39.0,12.0
USPR.61.R05,False,"Which of the following Republicans would stand the best chance of beating Roosevelt, or Roosevelt's choice (for President)?",,,06/1/1940,People's Research,,People's Research Survey,06/3/1940,06/6/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-221.Q06,False,"Which Presidential candidate do you think would do the most in reducing unemployment--Roosevelt, or Willkie?",,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/25/1940,10/29/1940,Y,National Adult,3161,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USPR.60.R04,False,"Which of the following Republicans would stand the best chance of beating Roosevelt, or Roosevelt's choice (for President)?... Dewey, Taft, Vandenberg, Willkie.",,,05/1/1940,People's Research,,People's Research Survey,05/23/1940,05/27/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-211.QKT03C,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/22/1940,09/27/1940,Y,National Adult,2964,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.40-219.QT02C,False,"Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt? A) In times like these it is absolutely essential to have a man like Roosevelt for President. B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do. C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years. D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country.",,Asked of Form T half sample,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,5378,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required to vote.",0.0,0.0,0.0
USGALLUP.090340.RK09A,True,Whom do you favor for President--Franklin Roosevelt or Wendell Willkie?,,,09/6/1940,Gallup Organization,,Gallup Poll,08/23/1940,08/29/1940,Y,National Adult,3107,,Face-to-face interview,Sample size is approximate.,46.0,44.0,10.0
USROPER.40-021.R08C,False,What sort of thing could make you decide to vote for Willkie (instead of Roosevelt in the 1940 presidential election)?,,"Asked of those who said that although Willkie is probably an honest and capable business man, he hasn't the right experience to be President in times like these or who didn't know which candidate was better (48%)",09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.110440.RK02A,True,"If the presidential election were held today, would you vote for Franklin Roosevelt or Wendell Willkie?",,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/26/1940,10/31/1940,Y,National Adult,4963,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",52.0,48.0,0.0
USGALLUP.40-209.QK03A,False,"Which one of these four statements comes closest to expressing your own opinion of Mr. Roosevelt... A) In times like these it is absolutely essential to have a man like Roosevelt for President, B) There may be some reasons against having Roosevelt as President for another four years but on the whole it is the best thing to do, C) While Roosevelt has done some good things, the country would be better off under Willkie for the next four years, D) The re-election of Mr. Roosevelt for another four years would be a very bad thing for the country?",,Asked of Form K half sample,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National Adult,4545,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-019.R12,False,"If Mr. Roosevelt does not run (for President) next fall, which, as you feel now, do you think you would vote for, the Democratic candidate or Mr. Willkie?",,,07/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,07/1/1940,07/31/1940,N,National adult,2540,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-020.R07,False,"Regardless of what you hope, who do you think will win the (1940 Presidential) election--Roosevelt or Willkie?",,,08/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,08/1/1940,08/31/1940,N,National adult,5192,,Face-to-face interview,,0.0,0.0,0.0
USPR.59-2.R02,False,"Which one (of these presidential candidates, Roosevelt, Dewey. Hull, Taft, Farley, Willkie) do you think is most likely to get us into war?",,,05/1/1940,People's Research,,People's Research Survey,05/4/1940,05/9/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-022.R02,False,Which do you think would do a better job of rearming this country--Roosevelt or Willkie?,,,10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-215.QT05,True,"If the Presidential election were held today, would you vote for the Democratic ticket of Roosevelt and Wallace, or the Republican ticket of Willkie and McNary?",* = less than .5 percent,Asked of Form T half sample,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/11/1940,10/16/1940,Y,National Adult,3135,,Face-to-face interview,Sample size is approximate.,50.0,43.0,7.0
USGALLUP.40-210.QKT04,True,"If the Presidential election were held today, would you vote for Thomas (Socialist candidate), Roosevelt, or Willkie?",* = less than .5 percent,,09/28/1940,Gallup Organization,,Gallup Poll,09/19/1940,09/27/1940,Y,National Adult,3053,,Face-to-face interview,Sample size is approximate.,51.0,40.0,9.0
USROPER.40-022.R05,True,For whom do you expect to vote in November (1940)--Roosevelt or Willkie?,,,10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,46.0,39.0,15.0
USGALLUP.40-205.QKT06,False,If England is defeated between now and election time and it looks as though the United States might have to fight Germany which candidate would you prefer for President--Willkie or Roosevelt?,* = less than .5 percent,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/10/1940,08/16/1940,Y,National Adult,5825,,Face-to-face interview,"Form K interviewed Aug. 10-15, 1940, Form T Aug. 11-16, 1940. Sample size is approximate.",0.0,0.0,0.0
USGALLUP.102240.RT03,False,"If there were no war in Europe today, which presidential candidate would you vote for, Franklin Roosevelt or Wendell Willkie?",,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/7/1940,10/15/1940,Y,National Adult,6236,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-197.QT12A,True,"If Wendell Willkie runs for President on the Republican ticket against President Roosevelt running for a third term on the Democratic ticket, which one would you prefer?",,Asked of Form T half sample,06/1/1940,Gallup Organization,,Gallup Poll (AIPO),06/1/1940,06/6/1940,Y,National Adult,3171,,Face-to-face interview,Sample size is approximate.,57.0,27.0,15.0
USROPER.40-022.R06AA,False,"(Asked only of those who expect to vote for Roosevelt, Willkie or 'Other' in November 1940) If any of these things happened between now and election day, would you be inclined to change your vote for President?... The defeat of England",,"Respondents expect to vote for Roosevelt, Willkie, Other (86%)",10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.111040.R05,False,"If the United States should get into the war, which man would you prefer to have as President--Roosevelt or Willkie?",,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",0.0,0.0,0.0
USGALLUP.40-206.Q5B,False,"HOW SURE ARE YOU THAT YOU WILL VOTE THIS WAY (FOR ROOSEVELT, WILLKIE, OTHER, FOR PRESIDENT THIS FALL 1940)?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/11/1940,08/16/1940,Y,National Adult,3117,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USROPER.40-021.R15AD,False,Do you think that Roosevelt and Willkie agree... how to increase business confidence... or do you think they disagree?,,,09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USPR.62.R03,True,"If Wendell Willke runs for President on the Republican ticket against Roosevelt, which one would you prefer?",,Republicans,06/1/1940,People's Research,,People's Research Survey,06/15/1940,06/18/1940,Y,National adults,1200,,Face-to-face interview,Sample size is approximate.,56.0,29.0,15.0
USGALLUP.080540.RT02,True,"If the presidential election were held today, would you vote for The Republican candidate, Wendell Willkie, or the Democratic candidate, Franklin Roosevelt?",,,07/1/1940,Gallup Organization,,Gallup Poll (AIPO),07/21/1940,07/26/1940,Y,National Adult,3408,,Face-to-face interview,Sample size is approximate.,44.0,43.0,13.0
USGALLUP.40-208.Q04,False,Which candidate do you think will win (the Presidential election) in your state?,* = less than .5 percent,,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National adult,3230,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.220.Q02B,True,"As you feel today, would you say you were a little more for Willkie, or a little more for Roosevelt?",,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",51.0,47.0,2.0
USROPER.40-020.R03,False,Which one of these four statements comes closest to expressing your own opinion of Wendell Willkie?,,,08/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,08/1/1940,08/31/1940,N,National adult,5192,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-220.Q02A,True,"If the Presidential election were held today, would you vote for Willkie or Roosevelt?",* = less than .5 percent,,11/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/24/1940,10/29/1940,Y,National Adult,5449,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register, and those who would be eligible to vote if registration wasn't required for voting.",48.0,45.0,8.0
USGALLUP.40-207.QT09A,True,"As it looks now, do you intend to vote for Roosevelt, or for Willkie, this fall?",,Asked of Form T half sample,09/6/1940,Gallup Organization,,Gallup Poll,08/23/1940,08/29/1940,Y,National Adult,3107,,Face-to-face interview,Sample size is approximate.,42.0,43.0,14.0
USROPER.40-023.R5,False,"Now that the (1940) election is over, how do you feel about the outcome and its effect on the country? Which of these statements comes closest to describing what you think?",,,11/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,11/1/1940,11/30/1940,N,National adult,5218,,Face-to-face interview,,0.0,0.0,0.0
USROPER.40-022.R06AC,False,"(Asked only of those who expect to vote for Roosevelt, Willkie or 'Other' in November 1940) (If any of these things happened between now and election day, would you be inclined to change your vote for President?)... A message from Roosevelt to Congress asking for a declaration of war",,"Respondents expect to vote for Roosevelt, Willkie, Other (86%)",10/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,10/1/1940,10/31/1940,N,National adult,5151,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.090440.RK06,False,"If England is defeated between now and election time and it looks as though the United States might have to fight Germany, which candidate would you prefer for President--Willkie or Roosevelt?",,,08/1/1940,Gallup Organization,,Gallup Poll (AIPO),08/10/1940,08/16/1940,Y,National Adult,5825,,Face-to-face interview,"Form K interviewed Aug. 10-15, 1940, Form T Aug. 11-16, 1940. Sample size is approximate.",0.0,0.0,0.0
USROPER.40-021.R15BF,False,(Which one do you agree with--Roosevelt or Willkie--on the following propositions?)... On the best way to solve unemployment,,Asked of those who said that Roosevelt and Willkie disagree on this proposition (54%),09/1/1940,The Roper Organization,Fortune Magazine,Roper/Fortune Survey,09/1/1940,09/30/1940,N,National adult,5215,,Face-to-face interview,,0.0,0.0,0.0
USGALLUP.40-216.QT02A,True,"If the Presidential election were held today, would you vote for Roosevelt or Willkie?",* = less than .5 percent,Asked of Form T half sample,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/21/1940,10/26/1940,Y,National Adult,5643,,Face-to-face interview,"Sample size is approximate. The sample included registered voters, those who planned to register and those who would be eligible to vote if registration weren't required to vote.",47.0,44.0,9.0
USGALLUP.100640.RK02,True,"Whom do you favor for President, Franklin Roosevelt or Wendell Willkie?",,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/28/1940,10/3/1940,Y,National Adult,3213,,Face-to-face interview,Sample size is approximate.,50.0,40.0,10.0
USGALLUP.40-198.QJV12D,True,"If Wendell Willkie runs for President on the Republican ticket against President Roosevelt running for a third term on the Democratic ticket, which one would you prefer?",,,06/1/1940,Gallup Organization,,Gallup Poll (AIPO),06/13/1940,06/18/1940,Y,National Adult,3091,,Face-to-face interview,Sample size is approximate.,53.0,30.0,17.0
USGALLUP.40-208.Q02,True,"As it looks now, do you intend to vote for Roosevelt, or for Willkie, this fall?",* = less than .5 percent,,09/1/1940,Gallup Organization,,Gallup Poll (AIPO),09/5/1940,09/10/1940,Y,National adult,3230,,Face-to-face interview,Sample size is approximate.,43.0,42.0,15.0
USGALLUP.40-214.QKT06,False,"Regardless of how you, yourself, plan to vote, which Presidential candidate do you think will win?",* = less than .5 percent,,10/1/1940,Gallup Organization,,Gallup Poll (AIPO),10/7/1940,10/15/1940,Y,National Adult,6236,,Face-to-face interview,,0.0,0.0,0.0
